n,r,epsilon,seed,discretization_time_s,structure_learning_time_s,cpt_fitting_time_s,sampling_time_s,total_time_s,output_path
10000,2,0.1,4,1e-06,0.539861,0.02199,0.0982,0.660053,data/synthetic/private/privbayes_private_n10000_r2_eps0.1_seed4.csv
10000,2,0.5,0,1e-06,0.524517,0.028632,0.105091,0.658241,data/synthetic/private/privbayes_private_n10000_r2_eps0.5_seed0.csv
10000,2,0.5,1,1e-06,0.539316,0.020338,0.100267,0.659921,data/synthetic/private/privbayes_private_n10000_r2_eps0.5_seed1.csv
10000,2,0.5,2,1e-06,0.562147,0.020818,0.104537,0.687502,data/synthetic/private/privbayes_private_n10000_r2_eps0.5_seed2.csv
10000,2,0.5,3,1e-06,0.530465,0.021343,0.109245,0.661054,data/synthetic/private/privbayes_private_n10000_r2_eps0.5_seed3.csv
10000,2,0.5,4,1e-06,0.533652,0.018765,0.097874,0.650292,data/synthetic/private/privbayes_private_n10000_r2_eps0.5_seed4.csv
10000,2,1.0,0,1e-06,0.53038,0.021013,0.102258,0.653651,data/synthetic/private/privbayes_private_n10000_r2_eps1_seed0.csv
10000,2,1.0,1,1e-06,0.527711,0.020686,0.103096,0.651494,data/synthetic/private/privbayes_private_n10000_r2_eps1_seed1.csv
10000,2,1.0,2,1e-06,0.536236,0.020205,0.105843,0.662285,data/synthetic/private/privbayes_private_n10000_r2_eps1_seed2.csv
10000,2,1.0,3,1e-06,0.547183,0.019041,0.102871,0.669095,data/synthetic/private/privbayes_private_n10000_r2_eps1_seed3.csv
10000,2,1.0,4,1e-06,0.553828,0.024162,0.102976,0.680967,data/synthetic/private/privbayes_private_n10000_r2_eps1_seed4.csv
10000,2,2.0,0,1e-06,0.552671,0.022135,0.105977,0.680783,data/synthetic/private/privbayes_private_n10000_r2_eps2_seed0.csv
10000,2,2.0,1,1e-06,0.544448,0.020281,0.100904,0.665633,data/synthetic/private/privbayes_private_n10000_r2_eps2_seed1.csv
10000,2,2.0,2,1e-06,0.529445,0.020478,0.104901,0.654824,data/synthetic/private/privbayes_private_n10000_r2_eps2_seed2.csv
10000,2,2.0,3,1e-06,0.576208,0.020083,0.105722,0.702014,data/synthetic/private/privbayes_private_n10000_r2_eps2_seed3.csv
10000,2,2.0,4,1e-06,0.586573,0.018498,0.099669,0.704741,data/synthetic/private/privbayes_private_n10000_r2_eps2_seed4.csv
