n,r,seed,var_a,var_b,raw_mi_nats,synthetic_mi_nats,abs_mi_error_nats
5000,1,0,education_num,hours_per_week,0.026509,0.005643,0.020866
5000,1,0,education_num,income_class,0.275594,0.281209,0.005615
5000,1,0,hours_per_week,income_class,0.040845,0.006145,0.0347
5000,1,1,age,education_num,0.041681,0.056629,0.014947
5000,1,1,age,hours_per_week,0.119099,0.125322,0.006223
5000,1,1,age,income_class,0.138735,0.13869,4.4e-05
5000,1,1,education_num,hours_per_week,0.026509,0.005322,0.021187
5000,1,1,education_num,income_class,0.275594,0.285312,0.009719
5000,1,1,hours_per_week,income_class,0.040845,0.005506,0.035338
5000,1,2,age,education_num,0.041681,0.062947,0.021266
5000,1,2,age,hours_per_week,0.119099,0.125635,0.006536
5000,1,2,age,income_class,0.138735,0.153042,0.014307
5000,1,2,education_num,hours_per_week,0.026509,0.00484,0.021669
5000,1,2,education_num,income_class,0.275594,0.268522,0.007071
5000,1,2,hours_per_week,income_class,0.040845,0.004439,0.036406
5000,1,3,age,education_num,0.041681,0.064503,0.022822
5000,1,3,age,hours_per_week,0.119099,0.134533,0.015434
5000,1,3,age,income_class,0.138735,0.149783,0.011048
5000,1,3,education_num,hours_per_week,0.026509,0.005253,0.021256
5000,1,3,education_num,income_class,0.275594,0.276149,0.000555
5000,1,3,hours_per_week,income_class,0.040845,0.004578,0.036267
5000,1,4,age,education_num,0.041681,0.060652,0.01897
5000,1,4,age,hours_per_week,0.119099,0.113013,0.006086
5000,1,4,age,income_class,0.138735,0.144707,0.005972
5000,1,4,education_num,hours_per_week,0.026509,0.005123,0.021386
5000,1,4,education_num,income_class,0.275594,0.284109,0.008515
5000,1,4,hours_per_week,income_class,0.040845,0.004142,0.036703
5000,2,0,age,education_num,0.041681,0.040623,0.001059
5000,2,0,age,hours_per_week,0.119099,0.122878,0.003779
5000,2,0,age,income_class,0.138735,0.14785,0.009115
5000,2,0,education_num,hours_per_week,0.026509,0.024119,0.00239
5000,2,0,education_num,income_class,0.275594,0.281209,0.005615
5000,2,0,hours_per_week,income_class,0.040845,0.039391,0.001453
5000,2,1,age,education_num,0.041681,0.046476,0.004794
5000,2,1,age,hours_per_week,0.119099,0.123349,0.004249
5000,2,1,age,income_class,0.138735,0.14179,0.003055
5000,2,1,education_num,hours_per_week,0.026509,0.027382,0.000873
5000,2,1,education_num,income_class,0.275594,0.285312,0.009719
5000,2,1,hours_per_week,income_class,0.040845,0.047288,0.006443
5000,2,2,age,education_num,0.041681,0.048174,0.006492
5000,2,2,age,hours_per_week,0.119099,0.115969,0.003131
5000,2,2,age,income_class,0.138735,0.150164,0.011429
5000,2,2,education_num,hours_per_week,0.026509,0.025063,0.001446
5000,2,2,education_num,income_class,0.275594,0.268522,0.007071
5000,2,2,hours_per_week,income_class,0.040845,0.042657,0.001812
5000,2,3,age,education_num,0.041681,0.045659,0.003977
5000,2,3,age,hours_per_week,0.119099,0.12436,0.005261
5000,2,3,age,income_class,0.138735,0.14283,0.004095
5000,2,3,education_num,hours_per_week,0.026509,0.025364,0.001145
5000,2,3,education_num,income_class,0.275594,0.276149,0.000555
5000,2,3,hours_per_week,income_class,0.040845,0.04717,0.006326
5000,2,4,age,education_num,0.041681,0.054568,0.012886
5000,2,4,age,hours_per_week,0.119099,0.113013,0.006086
5000,2,4,age,income_class,0.138735,0.149959,0.011224
5000,2,4,education_num,hours_per_week,0.026509,0.025282,0.001227
5000,2,4,education_num,income_class,0.275594,0.289662,0.014068
5000,2,4,hours_per_week,income_class,0.040845,0.040565,0.00028
10000,0,0,age,education_num,0.045492,0.002555,0.042938
10000,0,0,age,hours_per_week,0.123256,0.001296,0.12196
10000,0,0,age,income_class,0.138833,0.001601,0.137231
10000,0,0,education_num,hours_per_week,0.024088,0.003812,0.020276
10000,0,0,education_num,income_class,0.273411,0.002148,0.271263
10000,0,0,hours_per_week,income_class,0.034457,0.001084,0.033374
10000,0,1,age,education_num,0.045492,0.002342,0.04315
10000,0,1,age,hours_per_week,0.123256,0.001607,0.121649
10000,0,1,age,income_class,0.138833,0.001034,0.137798
10000,0,1,education_num,hours_per_week,0.024088,0.00342,0.020669
10000,0,1,education_num,income_class,0.273411,0.00314,0.270271
10000,0,1,hours_per_week,income_class,0.034457,0.001513,0.032945
10000,0,2,age,education_num,0.045492,0.002032,0.04346
10000,0,2,age,hours_per_week,0.123256,0.001553,0.121703
10000,0,2,age,income_class,0.138833,0.000997,0.137835
10000,0,2,education_num,hours_per_week,0.024088,0.002117,0.021971
10000,0,2,education_num,income_class,0.273411,0.002583,0.270828
10000,0,2,hours_per_week,income_class,0.034457,0.001949,0.032508
10000,0,3,age,education_num,0.045492,0.002123,0.04337
10000,0,3,age,hours_per_week,0.123256,0.001788,0.121468
10000,0,3,age,income_class,0.138833,0.001252,0.13758
10000,0,3,education_num,hours_per_week,0.024088,0.003703,0.020385
10000,0,3,education_num,income_class,0.273411,0.002238,0.271173
10000,0,3,hours_per_week,income_class,0.034457,0.001595,0.032862
10000,0,4,age,education_num,0.045492,0.002421,0.043071
10000,0,4,age,hours_per_week,0.123256,0.000998,0.122258
10000,0,4,age,income_class,0.138833,0.000947,0.137886
10000,0,4,education_num,hours_per_week,0.024088,0.003707,0.020381
10000,0,4,education_num,income_class,0.273411,0.002204,0.271207
10000,0,4,hours_per_week,income_class,0.034457,0.001868,0.03259
10000,1,0,age,education_num,0.045492,0.052795,0.007303
10000,1,0,age,hours_per_week,0.123256,0.125193,0.001936
10000,1,0,age,income_class,0.138833,0.143002,0.00417
10000,1,0,education_num,hours_per_week,0.024088,0.003198,0.02089
10000,1,0,education_num,income_class,0.273411,0.271528,0.001883
10000,1,0,hours_per_week,income_class,0.034457,0.003553,0.030904
10000,1,1,age,education_num,0.045492,0.061019,0.015526
10000,1,1,age,hours_per_week,0.123256,0.125779,0.002523
10000,1,1,age,income_class,0.138833,0.139908,0.001076
10000,1,1,education_num,hours_per_week,0.024088,0.004507,0.019581
10000,1,1,education_num,income_class,0.273411,0.282766,0.009355
