dataset,n,method,parameter,marginal_order,attributes,metric_type,tvd
simulated_adult_like_n3000_seed0,3000,t_closeness,t=0.4,2,education_num|income_class,strict_symbolic_tvd,1.0
simulated_adult_like_n3000_seed0,3000,t_closeness,t=0.4,2,education_num|income_class,midpoint_binned_tvd,0.384667
simulated_adult_like_n3000_seed0,3000,t_closeness,t=0.4,2,hours_per_week|income_class,strict_symbolic_tvd,1.0
simulated_adult_like_n3000_seed0,3000,t_closeness,t=0.4,2,hours_per_week|income_class,midpoint_binned_tvd,0.068914
simulated_adult_like_n3000_seed0,3000,t_closeness,t=0.4,3,age|education_num|hours_per_week,strict_symbolic_tvd,1.0
simulated_adult_like_n3000_seed0,3000,t_closeness,t=0.4,3,age|education_num|hours_per_week,midpoint_binned_tvd,0.397137
simulated_adult_like_n3000_seed0,3000,t_closeness,t=0.4,3,age|education_num|income_class,strict_symbolic_tvd,1.0
simulated_adult_like_n3000_seed0,3000,t_closeness,t=0.4,3,age|education_num|income_class,midpoint_binned_tvd,0.402547
simulated_adult_like_n3000_seed0,3000,t_closeness,t=0.4,3,age|hours_per_week|income_class,strict_symbolic_tvd,1.0
simulated_adult_like_n3000_seed0,3000,t_closeness,t=0.4,3,age|hours_per_week|income_class,midpoint_binned_tvd,0.157873
simulated_adult_like_n3000_seed0,3000,t_closeness,t=0.4,3,education_num|hours_per_week|income_class,strict_symbolic_tvd,1.0
simulated_adult_like_n3000_seed0,3000,t_closeness,t=0.4,3,education_num|hours_per_week|income_class,midpoint_binned_tvd,0.387442
simulated_adult_like_n3000_seed0,3000,t_closeness,t=0.4,avg_2way,ALL,strict_symbolic_tvd,1.0
simulated_adult_like_n3000_seed0,3000,t_closeness,t=0.4,avg_3way,ALL,strict_symbolic_tvd,1.0
simulated_adult_like_n3000_seed0,3000,t_closeness,t=0.4,avg_2way,ALL,midpoint_binned_tvd,0.253356
simulated_adult_like_n3000_seed0,3000,t_closeness,t=0.4,avg_3way,ALL,midpoint_binned_tvd,0.33625
simulated_adult_like_n5000_seed0,5000,k_anonymity,k=5.0,2,age|education_num,strict_symbolic_tvd,1.0
simulated_adult_like_n5000_seed0,5000,k_anonymity,k=5.0,2,age|education_num,midpoint_binned_tvd,0.137634
simulated_adult_like_n5000_seed0,5000,k_anonymity,k=5.0,2,age|hours_per_week,strict_symbolic_tvd,1.0
simulated_adult_like_n5000_seed0,5000,k_anonymity,k=5.0,2,age|hours_per_week,midpoint_binned_tvd,0.16921
simulated_adult_like_n5000_seed0,5000,k_anonymity,k=5.0,2,age|income_class,strict_symbolic_tvd,1.0
simulated_adult_like_n5000_seed0,5000,k_anonymity,k=5.0,2,age|income_class,midpoint_binned_tvd,0.156775
simulated_adult_like_n5000_seed0,5000,k_anonymity,k=5.0,2,education_num|hours_per_week,strict_symbolic_tvd,1.0
simulated_adult_like_n5000_seed0,5000,k_anonymity,k=5.0,2,education_num|hours_per_week,midpoint_binned_tvd,0.056569
simulated_adult_like_n5000_seed0,5000,k_anonymity,k=5.0,2,education_num|income_class,strict_symbolic_tvd,1.0
simulated_adult_like_n5000_seed0,5000,k_anonymity,k=5.0,2,education_num|income_class,midpoint_binned_tvd,0.009419
simulated_adult_like_n5000_seed0,5000,k_anonymity,k=5.0,2,hours_per_week|income_class,strict_symbolic_tvd,1.0
simulated_adult_like_n5000_seed0,5000,k_anonymity,k=5.0,2,hours_per_week|income_class,midpoint_binned_tvd,0.056385
